doc_id,cluster
2526,12
17397,12
29091,12
4446,12
29736,12
22273,12
16128,12
26205,12
25091,12
22448,12
24588,12
22258,12
7175,12
27043,12
27041,12
4468,12
24577,12
19719,12
29864,12
22110,12
9388,12
9201,12
29693,12
7365,12
9015,12
17963,12
17181,12
31391,12
32279,12
20302,12
2143,12
34112,12
16909,12
3449,12
280,12
27457,12
15018,12
26598,12
9229,12
2197,12
22674,12
25913,12
27042,12
33753,12
4452,12
14567,12
22449,12
22936,12
22846,12
2208,12
33356,12
19998,12
33020,12
19839,12
2037,12
22739,12
33021,12
3505,12
16464,12
11137,12
8732,12
25696,12
24589,12
28952,12
14201,12
21967,12
17546,12
32880,12
16274,12
3274,12
2181,12
20117,12
11280,12
22059,12
7561,12
15225,12
1997,12
32262,12
218,12
10835,12
20314,12
2356,12
22502,12
22473,12
20074,12
33357,12
25284,12
22517,12
14306,12
30113,12
8651,12
14660,12
29090,12
22930,12
7399,12
22933,12
18448,12
2194,12
2426,12
30844,12
19783,12
30298,12
29640,12
26439,12
19806,12
22249,12
14270,12
12205,12
22271,12
19725,12
9604,12
11302,12
25792,12
10361,12
10311,12
16261,12
28762,12
2585,12
2142,12
26955,12
21989,12
22922,12
26410,12
22488,12
24005,12
22338,12
15964,12
22264,12
22728,12
17755,12
11453,12
33185,12
13871,12
30930,12
27055,12
21998,12
33223,12
6468,12
22339,12
14259,12
33394,12
30448,12
8722,12
19580,12
22016,12
17223,12
14313,12
14463,12
3004,12
4454,12
30449,12
22058,12
7831,12
33368,12
2395,12
20476,12
17591,12
15387,12
29052,12
30270,12
17630,12
28827,12
29696,12
28944,12
2357,12
15628,12
20498,12
31024,12
33383,12
14677,12
30851,12
16458,12
4637,12
31151,12
4849,12
20329,12
28761,12
31971,12
20539,12
17619,12
2430,12
33800,12
28789,12
1932,12
26942,12
12204,12
20301,12
30926,12
478,12
20316,12
2141,12
14503,12
22648,12
6299,12
3077,12
3094,12
9762,12
18488,12
30925,12
20670,12
16358,12
27137,12
18932,12
7161,12
711,12
14107,12
25286,12
16467,12
33631,12
14448,12
22304,12
2025,12
18305,12
25656,12
15226,12
14265,12
17590,12
6112,12
16089,12
27485,12
5942,12
33191,12
11345,12
11334,12
23804,12
17551,12
10375,12
5772,12
6522,12
28823,12
26570,12
26149,12
20077,12
31987,12
2829,12
6722,12
4955,12
15026,12
13546,12
25657,12
20856,12
33430,12
30845,12
12561,12
9200,12
21976,12
17394,12
27120,12
9360,12
3076,12
22878,12
4520,12
31145,12
4684,12
17009,12
32082,12
19233,12
6293,12
22845,12
8718,12
16707,12
22138,12
8527,12
7607,12
20671,12
20473,12
19973,12
33791,12
30329,12
3048,12
27135,12
15581,12
27136,12
22063,12
16936,12
22931,12
26968,12
22886,12
10216,12
33341,12
31970,12
5016,12
19972,12
25938,12
32129,12
17379,12
25081,12
33382,12
22879,12
23811,12
31811,12
26383,12
2369,12
4645,12
16505,12
28953,12
7377,12
31147,12
16699,12
32470,12
27109,12
1935,12
20706,12
12401,12
32328,12
19958,12
26348,12
17342,12
17553,12
29872,12
9606,12
17592,12
4508,12
4681,12
28171,12
19026,12
33342,12
22067,12
26411,12
19379,12
29283,12
26611,12
33183,12
19185,12
16459,12
4326,12
30933,12
6285,12
22111,12
21977,12
17941,12
22675,12
31812,12
23018,12
14307,12
17793,12
2753,12
30674,12
9313,12
6479,12
17182,12
2154,12
22770,12
22474,12
28193,12
33787,12
22265,12
9610,12
32934,12
5705,12
6291,12
4644,12
16704,12
21020,12
24582,12
16840,12
20667,12
13734,12
14919,12
4647,12
22711,12
18299,12
26612,12
24827,12
21974,12
19031,12
2341,12
21973,12
19797,12
31235,12
33813,12
13669,12
485,12
493,12
6325,12
26349,12
17354,12
